source_index,tweet_id,topic,original_text,cleaned_text
17,2079963647158411772,6,#BREAKING: Several cops injured in fresh violence near Jantar Mantar protest site in New Delhi. Mob snatched baton sticks of cops and RAF and attacked police personnel. Situation not fully under control yet. https://t.co/V2jbF14ogF,BREAKING: Several cops injured in fresh violence near Jantar Mantar protest site in New Delhi. Mob snatched baton sticks of cops and RAF and attacked police personnel. Situation not fully under control yet.
18,2079956804117934558,28,"Just one question from Anand Ranganathan Sir and both the hypocritical Congress and AAP were exposed on air.

This is the real truth behind their fake support for the CJP protest. Well done Sir! 👏👏 https://t.co/H0yuLO3nRd",Just one question from Anand Ranganathan Sir and both the hypocritical Congress and AAP were exposed on air. This is the real truth behind their fake support for the CJP protest. Well done Sir! 👏👏
19,2079955206138405236,4,My blood is boiling This CJP protest is about NEET students yet they are literally disrespecting Shri Ram. Do they really think they'll win by doing this https://t.co/C8RH1D43wh,My blood is boiling This CJP protest is about NEET students yet they are literally disrespecting Shri Ram. Do they really think they'll win by doing this
20,2079952554063179927,20,"Today, the Hon'ble High Court of Delhi, issued notice to the Delhi Police, seeking its response within 4 weeks, and further directed that all relevant CCTV footage be preserved in PIL (CRL.) No. 2146/2026 – Umesh Kumar v. Delhi Police We express our sincere gratitude to the https://t.co/Fc1YekChGn","Today, the Hon'ble High Court of Delhi, issued notice to the Delhi Police, seeking its response within 4 weeks, and further directed that all relevant CCTV footage be preserved in PIL (CRL.) No. 2146/2026 – Umesh Kumar v. Delhi Police We express our sincere gratitude to the"
21,2079950258772263258,3,"Ritika (@RitikaChandola) covered the CJP protest from the ground. When she met some Ambedkarite, she asked them how they were against casteism if they were pro reservations. 

Watch them go speechless https://t.co/EKn53X4zNT","Ritika () covered the CJP protest from the ground. When she met some Ambedkarite, she asked them how they were against casteism if they were pro reservations. Watch them go speechless"
22,2079947660434509922,2,"Reality of CJP leaders and the Protest! 
#cjp https://t.co/WEsezf35lh",Reality of CJP leaders and the Protest! cjp
23,2079944160715702306,11,CJP Activist and Spokesperson Vijeta Dahiya in this video says his teammates have made him a “Bali Ka Bakra” (Scapegoat) after Abhijit Dipke called him and asked not to come to Jantar Mantar protest venue because the burger video had gone viral. https://t.co/xHoDHIQkLn,CJP Activist and Spokesperson Vijeta Dahiya in this video says his teammates have made him a “Bali Ka Bakra” (Scapegoat) after Abhijit Dipke called him and asked not to come to Jantar Mantar protest venue because the burger video had gone viral.
24,2079941366352900494,-1,"After CJP protest, do you still support  @narendramodi Narendra modi ji?🥹
I support Modi ji🇮🇳.
Repost Yes or No. https://t.co/cgxCdOoWpO","After CJP protest, do you still support Narendra modi ji?🥹 I support Modi ji🇮🇳. Repost Yes or No."
25,2079939178574283007,-1,"Ezhilan today vs Ezhilan 4 days back 
But protest was happening for 20 days in Delhi 
Opportunitist  DMK https://t.co/lmYWfsLW8O",Ezhilan today vs Ezhilan 4 days back But protest was happening for 20 days in Delhi Opportunitist DMK
26,2079938007034126802,6,"Yesterday, when these Nihang Sikhs arrived at the CJP protest, they said they had come to Delhi only for one day to support the protest and would return afterward.

Today, they are now saying that they will stay in Delhi as long as the CJP protest continues and that they will not https://t.co/BLnV56CSGf","Yesterday, when these Nihang Sikhs arrived at the CJP protest, they said they had come to Delhi only for one day to support the protest and would return afterward. Today, they are now saying that they will stay in Delhi as long as the CJP protest continues and that they will not"
27,2079934945930473831,-1,"For these South Delhi G-ndu Generation, CJP Protest is nothing but a tool to get Viral on Social Media!! https://t.co/ndtaBSNpRm","For these South Delhi G-ndu Generation, CJP Protest is nothing but a tool to get Viral on Social Media!!"
28,2079931932880605597,24,"BREAKING 

Complaint filed by Delhi Police Inspector against influencer Amit Kilhorfor falsely identifying him in a viral video from recent protests (related to CJP/NEET issues)",BREAKING Complaint filed by Delhi Police Inspector against influencer Amit Kilhor for falsely identifying him in a viral video from recent protests (related to CJP/NEET issues)
29,2079929458606395727,-1,"Cockroach Janta Party Explained: Protest, Politics or Revolution? | Akhand Savdhaan

#cjp #bjp #jantarmantar #cjpprotest #sonamwangchuk https://t.co/vCtrE9mX0g","Cockroach Janta Party Explained: Protest, Politics or Revolution? | Akhand Savdhaan cjp bjp jantarmantar cjpprotest sonamwangchuk"
30,2079927190448447623,-1,"If the students protest in Delhi was like Tsunami, the Gen-Z protest in Patna was no lesser than Tornado 

Powerful visuals. Goosebumps 🔥🔥🔥 https://t.co/OPPDssCv7l","If the students protest in Delhi was like Tsunami, the Gen-Z protest in Patna was no lesser than Tornado Powerful visuals. Goosebumps 🔥🔥🔥"
31,2079911331873042854,-1,"🚨 EXPOSED! FCRA Amendment hits. 
— One lady. One foundation. Multiple protests within 72 Hours🤯

Govt announces Doon-Rishikesh road expansion.

Manavi Anusha of ""Aumana Foundation"" begins IG campaign.

Shaves her head BALD on camera, floods Instagram with CRYING reels, https://t.co/02pyULHuXr","🚨 EXPOSED! FCRA Amendment hits. — One lady. One foundation. Multiple protests within 72 Hours🤯 Govt announces Doon-Rishikesh road expansion. Manavi Anusha of ""Aumana Foundation"" begins IG campaign. Shaves her head BALD on camera, floods Instagram with CRYING reels,"
32,2079906502555697400,-1,"Wild card entry has been made for the CJP protest at Jantar Mantar! 

Sikh Nihang brothers challenge the Delhi Police: ""Now kill our mothers and sisters."" https://t.co/apHqddMgAM","Wild card entry has been made for the CJP protest at Jantar Mantar! Sikh Nihang brothers challenge the Delhi Police: ""Now kill our mothers and sisters."""
33,2079902548454998526,18,"American terrorist Gurpatwant Singh Pannun claims that he had a zoom meeting with cockroach Janata party leaders.

""SFJ will provide nearly ₹10 crore to CJP to help break India into smaller pieces.""

He further said that the fall of Delhi and Modi is invitable.

He said that the https://t.co/R0DIIEhJiP","American terrorist Gurpatwant Singh Pannun claims that he had a zoom meeting with cockroach Janata party leaders. ""SFJ will provide nearly ₹10 crore to CJP to help break India into smaller pieces."" He further said that the fall of Delhi and Modi is invitable. He said that the"
34,2079871852889981041,-1,If Virat Kohli had joined the CJP protest https://t.co/Te5fKUbjbL,If Virat Kohli had joined the CJP protest
35,2079871425947787498,-1,CJP protesters are threatening to rape this girl just because she opposed the illegal protest. https://t.co/4I6KqDtAki,CJP protesters are threatening to rape this girl just because she opposed the illegal protest.
36,2079871058140918088,8,"Video from Nepal goes viral, saying they want to cross border and join Cockroaches in Protest in Delhi. Let's topple the government of India like we did in Nepal, they are feeling hot after watching scenes at Jantar Mantar. https://t.co/YqWog3kNUu","Video from Nepal goes viral, saying they want to cross border and join Cockroaches in Protest in Delhi. Let's topple the government of India like we did in Nepal, they are feeling hot after watching scenes at Jantar Mantar."
37,2079854160858820864,3,"I am disturbed because every protest in India seems to have the same script.

1. Abuse Lord Ram.

2. Abuse Bharat Mata.

3. Abuse PM Modi.

4. Abuse PM Modi’s late mother.

5. Abuse Brahmins.

6. Abuse Hindutva.

No discussion.

No solutions.

Only slogans, abuse, and chaos.

The","I am disturbed because every protest in India seems to have the same script. 1. Abuse Lord Ram. 2. Abuse Bharat Mata. 3. Abuse PM Modi. 4. Abuse PM Modi’s late mother. 5. Abuse Brahmins. 6. Abuse Hindutva. No discussion. No solutions. Only slogans, abuse, and chaos. The"
38,2079848082032959518,3,"SHOCKING - CJP protestors abusing the Prime Minister's mother.

Preity Zinta is right. The protest is hijacked by Anti-Social elements. https://t.co/ywtsTeSH6n",SHOCKING - CJP protestors abusing the Prime Minister's mother. Preity Zinta is right. The protest is hijacked by Anti-Social elements.
39,2079845674938716432,1,"Historic Scenes in Delhi.

Modi’s Police blocked Metro Stations to stop people from going to the protest site, but this started troubling regular commuters too.

All of them started chanting Vande Matram and Modi teri Taanashahi nahi chalegi in front of his thullas.

This nation","Historic Scenes in Delhi. Modi’s Police blocked Metro Stations to stop people from going to the protest site, but this started troubling regular commuters too. All of them started chanting Vande Matram and Modi teri Taanashahi nahi chalegi in front of his thullas. This nation"
40,2079841999088476605,-1,"""Mere Pass Puja Karne Ka Time Nahi Hain""

""Ram Mare huye""

-These are phrases being used in protest that was being portrayed and presented as student's protest!

Anti-hindu face of CJP protest is now for everyone to see. https://t.co/Tpz3J6SQFu","""Mere Pass Puja Karne Ka Time Nahi Hain"" ""Ram Mare huye"" -These are phrases being used in protest that was being portrayed and presented as student's protest! Anti-hindu face of CJP protest is now for everyone to see."
41,2079840278425542908,3,"Harsh Yadav who promoted CJP has been thrown out of Protest Site

He asked a question about slogans raised in CJP Protest.

Ranka told his men to throw Harsh Yadav out. https://t.co/JF7PjwniDQ",Harsh Yadav who promoted CJP has been thrown out of Protest Site He asked a question about slogans raised in CJP Protest. Ranka told his men to throw Harsh Yadav out.
42,2079837136237600915,11,"CJP Protest: Arnab Exposes Abhijeet Dipke's Deep State Riots At Jantar Mantar | Delhi

Tune in to LIVE TV for all the fastest #BREAKING alerts - https://t.co/sd02M7w7Fp

#CJP #CJPProtest #JantarMantar https://t.co/n9uQC9FpmD",CJP Protest: Arnab Exposes Abhijeet Dipke's Deep State Riots At Jantar Mantar | Delhi Tune in to LIVE TV for all the fastest BREAKING alerts - CJP CJPProtest JantarMantar
43,2079834108105208193,3,"THIS EPIC GRILLING : 🤣🤣

Journalist : We were assaulted by CJP protesters.

Kalyan Banerjee : Then why did you go there to cover the protest ? You are Godi Media. https://t.co/46fx0FXOO9",THIS EPIC GRILLING : 🤣🤣 Journalist : We were assaulted by CJP protesters. Kalyan Banerjee : Then why did you go there to cover the protest ? You are Godi Media.
44,2079826187493474747,3,Shocking! Govt is paying influencers to defame CJP protest. https://t.co/b30rtft7mV,Shocking! Govt is paying influencers to defame CJP protest.
45,2079822111326245125,8,#WATCH | Delhi: Maratha reservation activist Manoj Jarange Patil arrives at Cockroach Janta Party (CJP) protest site at Jantar Mantar. https://t.co/FB5TgzFH9L,WATCH | Delhi: Maratha reservation activist Manoj Jarange Patil arrives at Cockroach Janta Party (CJP) protest site at Jantar Mantar.
46,2079819643808809179,3,"To every journalist who was stopped from reporting objectively from #CJP Protest at Jantar Mantar: Stay fearless.
The loudest advocates of “freedom of expression” often seem least comfortable with objective reporting. https://t.co/xpbprIUg2d",To every journalist who was stopped from reporting objectively from CJP Protest at Jantar Mantar: Stay fearless. The loudest advocates of “freedom of expression” often seem least comfortable with objective reporting.
47,2079818235243876687,-1,"🚨‼️This is very dangerous.

CJP protests in London are supported by “Hindus for Human rights” - an organisation backed by Pakistan’s ISI.

In London CJP protests HFHR Rajiv Sinha participated and changed the entire rhetoric. He is seen pushing his “Muslisms and Christians https://t.co/SuGBGb4PEb",🚨‼️This is very dangerous. CJP protests in London are supported by “Hindus for Human rights” - an organisation backed by Pakistan’s ISI. In London CJP protests HFHR Rajiv Sinha participated and changed the entire rhetoric. He is seen pushing his “Muslisms and Christians
48,2079815540017942653,6,"Delhi Police &amp; Child Welfare Committee must ACT NOW.

Woman publicly drags her two children into a CJP protest, screams “I’ve brought my kids — kill them too!” &amp; uses them as human shields against cops.

https://t.co/xGBRh4WAH7","Delhi Police & Child Welfare Committee must ACT NOW. Woman publicly drags her two children into a CJP protest, screams “I’ve brought my kids — kill them too!” & uses them as human shields against cops."
49,2079814624741073089,2,This image is the symbol of CJP protest https://t.co/UVsOmgoG1b,This image is the symbol of CJP protest
50,2079812038725906812,-1,"Arvind Kejriwal's daughter and son,

Sanjay Singh's daughter participated in CJP Protest on Julu 20th

Manish Sisodia's son participated in Protest in Canada https://t.co/0b5En9cNkT","Arvind Kejriwal's daughter and son, Sanjay Singh's daughter participated in CJP Protest on Julu 20th Manish Sisodia's son participated in Protest in Canada"
51,2079809845868523878,1,"Big Big Expose 

Congress leaders including Rahul Gandhi did not want to raise Jantar Mantar CJP/Student Protest in Parliament.

They were pressurised by opposition parties to take up this issue because it was all over social media.

Students /GenZ should know about these behind https://t.co/W5mUVuGHp3",Big Big Expose Congress leaders including Rahul Gandhi did not want to raise Jantar Mantar CJP/Student Protest in Parliament. They were pressurised by opposition parties to take up this issue because it was all over social media. Students /GenZ should know about these behind
52,2079804500714696978,2,CJP Protest Full video Delhi CP #viralreels #delhi #viral #viralpost  #cjp #bjp https://t.co/gJhm1FqEgd,CJP Protest Full video Delhi CP viralreels delhi viral viralpost cjp bjp
53,2079799988415332403,6,"Watch this video.

The police repeatedly announced, ""Please do not throw stones, or we will be forced to carry out a lathi charge.""

Even after those warnings, the CJP protesters kept throwing stones and brandishing swords. Yet this biased media guy still claims that the police https://t.co/O9Pjzw2Zmu","Watch this video. The police repeatedly announced, ""Please do not throw stones, or we will be forced to carry out a lathi charge."" Even after those warnings, the CJP protesters kept throwing stones and brandishing swords. Yet this biased media guy still claims that the police"
54,2079785088686916013,-1,"Beauty with Brains 👏👏

She is saying is Loud and clear about the CJP protest https://t.co/IZsrZBVfug",Beauty with Brains 👏👏 She is saying is Loud and clear about the CJP protest
55,2079777346052317204,-1,"The students' protest in New Delhi has now captured the attention of the entire country.

We were the first to warn that #NEET was designed to enable large-scale irregularities. That is why the DMK has opposed NEET from the very beginning, consistently pointing out the the https://t.co/HIoXWLIvwR","The students' protest in New Delhi has now captured the attention of the entire country. We were the first to warn that NEET was designed to enable large-scale irregularities. That is why the DMK has opposed NEET from the very beginning, consistently pointing out the the"
56,2079773837000855730,14,"🚨 BIG BREAKING 

Delhi Police has registered 6 FIRs over the CJP Parliament march violence and is probing whether there was a LARGER CONSPIRACY behind the unrest.
— CCTV footage, including facial recognition cameras, mobile phone recordings, and social media posts are being","🚨 BIG BREAKING Delhi Police has registered 6 FIRs over the CJP Parliament march violence and is probing whether there was a LARGER CONSPIRACY behind the unrest. — CCTV footage, including facial recognition cameras, mobile phone recordings, and social media posts are being"
57,2079771007305568560,6,"People at the CJP protest are now showing up wearing protective gear like security forces, and they're telling other protesters to buy the same equipment.

One of them is saying that protesters shouldn't be the ones getting injured - the police should. He's urging everyone to buy https://t.co/jrvkt5GAeU","People at the CJP protest are now showing up wearing protective gear like security forces, and they're telling other protesters to buy the same equipment. One of them is saying that protesters shouldn't be the ones getting injured - the police should. He's urging everyone to buy"
58,2079763204440572345,6,"A Nihang at the CJP protest is saying - If we start attacking, we'll beat everyone until their bodies are covered in bruises. We won't spare anyone, whether it's the police or anyone else. 

This protest is being presented as a students' protest, so where did these Nihangs https://t.co/MCKsBqrUc6","A Nihang at the CJP protest is saying - If we start attacking, we'll beat everyone until their bodies are covered in bruises. We won't spare anyone, whether it's the police or anyone else. This protest is being presented as a students' protest, so where did these Nihangs"
59,2079760934818476187,18,"Prime Minister Modi should be assassinated. If it were up to me, I would do it myself: A Peaceful Cockroach at CJP Protest

Imagine the audacity: calling PM Modi a dictator while openly issuing assassination threats, and than walking free https://t.co/3REFwJk4Cp","Prime Minister Modi should be assassinated. If it were up to me, I would do it myself: A Peaceful Cockroach at CJP Protest Imagine the audacity: calling PM Modi a dictator while openly issuing assassination threats, and than walking free"
60,2079755216258580495,-1,"“DCP - @abhijeet_dipke” Interaction 

Police ignored basics of peaceful protest management. When u Isolate leadership of protestors, the crowd becomes directionless. 

Then Internet was shutdown and protestors stopped getting any information from organisers. This added to chaos. https://t.co/sLYj17rQEL","“DCP - ” Interaction Police ignored basics of peaceful protest management. When u Isolate leadership of protestors, the crowd becomes directionless. Then Internet was shutdown and protestors stopped getting any information from organisers. This added to chaos."
61,2064242271579525380,18,"A remark made by a participant at the recent Cockroach Janta Party (CJP) protest in Delhi has triggered widespread outrage online. 

In a viral video, a man identifying himself as a Delhi High Court lawyer was asked whether he would object if India were broken into seven pieces. https://t.co/IQims1egri","A remark made by a participant at the recent Cockroach Janta Party (CJP) protest in Delhi has triggered widespread outrage online. In a viral video, a man identifying himself as a Delhi High Court lawyer was asked whether he would object if India were broken into seven pieces."
62,2079684550926671878,1,"🚨Beware India !!  Deep State Conspiracy ! 
George Soros has Destroyed 40+Countries in the World ! 

🚨Now He wants to Destroy India And Some Traitors of India are Helping him in his Project ! 

➡️ 2019 -  Anti-CAA Riots ! 
➡️ 2020 - Delhi Riots ! 
➡️ 2021 -  Farmer Protests ! https://t.co/mzaaBHJEZE",🚨Beware India !! Deep State Conspiracy ! George Soros has Destroyed 40+Countries in the World ! 🚨Now He wants to Destroy India And Some Traitors of India are Helping him in his Project ! ➡️ 2019 - Anti-CAA Riots ! ➡️ 2020 - Delhi Riots ! ➡️ 2021 - Farmer Protests !
63,2079682721769722287,24,"There is a video of Delhi police personnel assaulting a Woman Protester. Soon after the video went viral, A few started claiming that the name of the police personnel is Inspector Prakash Meena. 

Fact : He is NOT Prakash Meena, But some other Police personal. Prakash Meena was https://t.co/KWQa5TQ9Gu","There is a video of Delhi police personnel assaulting a Woman Protester. Soon after the video went viral, A few started claiming that the name of the police personnel is Inspector Prakash Meena. Fact : He is NOT Prakash Meena, But some other Police personal. Prakash Meena was"
64,2079642380115063049,-1,"CJP protesters were chasing and attacking RAF personnel in Delhi's Connaught Place.

Will Abhijeet Dipke still call this a peaceful protest?

What kind of students are these if all they seem to want is violence? https://t.co/yUvmz8dDyw",CJP protesters were chasing and attacking RAF personnel in Delhi's Connaught Place. Will Abhijeet Dipke still call this a peaceful protest? What kind of students are these if all they seem to want is violence?
65,2079639896919330902,-1,Prakash Raj Sir Emotional Words on the Delhi Protest ❤️ https://t.co/kxBMSpSCcJ,Prakash Raj Sir Emotional Words on the Delhi Protest ❤️
66,2079638300026138755,-1,"The CJP protesters showed a sword to the police at Jantar Mantar today and chased them away.

Are these NEET students or rioters?

What will Abhijeet Dipke and Sonam Wangchuk have to say about this?

The CJP protesters have come to create chaos across Delhi. https://t.co/fIZgryZ7fN",The CJP protesters showed a sword to the police at Jantar Mantar today and chased them away. Are these NEET students or rioters? What will Abhijeet Dipke and Sonam Wangchuk have to say about this? The CJP protesters have come to create chaos across Delhi.
67,2079635051248243135,1,"Shocking!

The Congress’s false narrative is beginning to unravel.

Videos have now surfaced showing Congress MPs from Kerala, who were detained by the Delhi Police during the protest march towards Prime Minister Narendra Modi’s residence, attacking police personnel from inside https://t.co/XonJxa7xIY","Shocking! The Congress’s false narrative is beginning to unravel. Videos have now surfaced showing Congress MPs from Kerala, who were detained by the Delhi Police during the protest march towards Prime Minister Narendra Modi’s residence, attacking police personnel from inside"
68,2079630070348718588,-1,"15000 + GenZ crowd at Connaught Place right now because Jantar Mantar is packed . Naturally without any call of protest. 

#CJP https://t.co/bO0AGuLH4k",15000 + GenZ crowd at Connaught Place right now because Jantar Mantar is packed . Naturally without any call of protest. CJP
69,2079629691494060368,0,"Just recieved this interesting stuff on WhatsApp but the writer is anonymous.
**🪳protests is a major issue funded from abroad and will cripple many not only abroad but here in India as well.
'People want Dharmendra Pradhan, Education minister,) to resign. The agenda for CJP is","Just recieved this interesting stuff on WhatsApp but the writer is anonymous. **🪳protests is a major issue funded from abroad and will cripple many not only abroad but here in India as well. 'People want Dharmendra Pradhan, Education minister,) to resign. The agenda for CJP is"
70,2079615865918775769,-1,"Just received this from a friend. An interesting take that looks beyond the immediate controversy and asks whether the battle is really about an education minister, or about far larger interests. Worth a read and an informed debate.

🪳 protests major issue funded from abroad","Just received this from a friend. An interesting take that looks beyond the immediate controversy and asks whether the battle is really about an education minister, or about far larger interests. Worth a read and an informed debate. 🪳 protests major issue funded from abroad"
71,2079609952512155959,-1,#WATCH | Delhi | Shiv Sena (UBT) chief Uddhav Thackeray reaches the protest site at Jantar Mantar. https://t.co/wkPrhCvq7k,WATCH | Delhi | Shiv Sena (UBT) chief Uddhav Thackeray reaches the protest site at Jantar Mantar.
72,2079608994029580615,8,"IMPORTANT ANNOUNCEMENT 

Cockroach Janta Party has not given a call to assemble anywhere but at Jantar Mantar, where our peaceful protest is on. 

We received reports that some goons may have been sent to other parts of Delhi to create nuisance. They are NOT with CJP.

- https://t.co/2jY0luT4CE","IMPORTANT ANNOUNCEMENT Cockroach Janta Party has not given a call to assemble anywhere but at Jantar Mantar, where our peaceful protest is on. We received reports that some goons may have been sent to other parts of Delhi to create nuisance. They are NOT with CJP. -"
73,2079603610888135046,1,"“Modi Government has not seen protests of this kind in Delhi in it’s 12 years in power”

Shaheen Bagh was 100× larger than the CJP protest, and it lasted for over 100 days. https://t.co/yo8ONfrJP4","“Modi Government has not seen protests of this kind in Delhi in it’s 12 years in power” Shaheen Bagh was 100× larger than the CJP protest, and it lasted for over 100 days."
74,2079602965426713068,-1,"Huge victory for our movement!

The Police has now released all detainees just before one hour ago. They had illegally been detained for peacefully protesting for over a day, but the Police has had to bow down to public pressure. 

The CJP is no longer conducting its dharna at","Huge victory for our movement! The Police has now released all detainees just before one hour ago. They had illegally been detained for peacefully protesting for over a day, but the Police has had to bow down to public pressure. The CJP is no longer conducting its dharna at"
75,2079600201174749303,3,"Only person in CJP Protest who talked sense and idiot youtubers like Sarthak are sharing it as a Joker.

Sarthak had no answer to his arguments so just laughed and moved away.

He calls himself a Journalist. https://t.co/qEsutSM3UY",Only person in CJP Protest who talked sense and idiot youtubers like Sarthak are sharing it as a Joker. Sarthak had no answer to his arguments so just laughed and moved away. He calls himself a Journalist.
76,2079599588730929472,1,Democracy in India is happening right now! The Leader of India’s Opposition is being dragged by Narendra Modi’s cops away from a peaceful sit-in protest. Delhi is under siege by Modi’s police. https://t.co/3Zvrb1xsi3,Democracy in India is happening right now! The Leader of India’s Opposition is being dragged by Narendra Modi’s cops away from a peaceful sit-in protest. Delhi is under siege by Modi’s police.
77,2079598720132501738,24,"FAKE NEWS ALERT! 
The 'Fact Check' of @zoo_bear's video by @DelhiPolice is FALSE. 
Here is Fact Check of the False 'Fact Check' by the @DelhiPolice,  @PIBFactCheck &amp; @DDNewslive 

Claim : Delhi Police claims this videoof police carrying batons fitted with nails is not related to https://t.co/3SnNDR8fix","FAKE NEWS ALERT! The 'Fact Check' of 's video by is FALSE. Here is Fact Check of the False 'Fact Check' by the , & Claim : Delhi Police claims this videoof police carrying batons fitted with nails is not related to"
